Area,Bedrooms,Bathrooms,sqft,price_per_sqft,Price
AMPANG,2,2,886,778.7810383747178,690000
AMPANG,1,1,705,638.2978723404256,450000
AMPANG,5,3,1882,531.3496280552604,1000000
AMPANG,2,2,796,753.7688442211055,600000
AMPANG,1,1,450,684.4444444444445,308000
AMPANG,4,3,1390,467.62589928057554,650000
AMPANG,5,5,3735,476.57295850066936,1780000
AMPANG,1,1,705,631.2056737588653,445000
AMPANG,1,1,320,625.0,200000
AMPANG,4,3,1572,572.5190839694657,900000
AMPANG,2,2,886,778.7810383747178,690000
AMPANG,2,2,786,684.4783715012722,538000
AMPANG,6,6,4715,689.2895015906681,3250000
AMPANG,1,1,452,617.2566371681415,279000
AMPANG,1,1,678,560.47197640118,380000
AMPANG,1,1,781,717.0294494238157,560000
AMPANG,1,1,705,609.9290780141844,430000
AMPANG,4,3,1570,471.3375796178344,740000
AMPANG,1,1,320,625.0,200000
AMPANG,2,2,888,765.7657657657658,680000
AMPANG,1,1,705,624.113475177305,440000
AMPANG,3,3,1432,607.5418994413408,870000
AMPANG,4,3,1390,446.6820143884892,620888
AMPANG,1,1,705,567.3758865248227,400000
AMPANG,4,3,1572,572.5190839694657,900000
AMPANG,2,2,747,655.9571619812584,490000
AMPANG,4,3,1860,537.6344086021505,1000000
AMPANG,3,3,1690,739.6449704142012,1250000
AMPANG,1,1,520,673.0769230769231,350000
AMPANG,1,1,705,614.1843971631206,433000
AMPANG,2,2,988,769.2307692307693,760000
AMPANG,1,1,300,696.2933333333333,208888
AMPANG,2,2,988,769.2307692307693,760000
AMPANG,1,1,300,696.2933333333333,208888
AMPANG,2,2,1030,713.5922330097087,735000
AMPANG,1,1,600,583.3333333333334,350000
AMPANG,5,5,3530,540.7614730878187,1908888
AMPANG,3,2,1570,636.9426751592357,1000000
AMPANG,1,1,705,638.2978723404256,450000
AMPANG,1,1,450,733.3333333333334,330000
AMPANG,5,4,1902,446.8980021030494,850000
AMPANG,5,4,3680,625.0,2300000
AMPANG,6,6,4715,689.2895015906681,3250000
AMPANG,3,2,1200,650.0,780000
AMPANG,4,4,1830,655.7377049180328,1200000
AMPANG,1,1,678,622.4188790560472,422000
AMPANG,1,1,700,614.2857142857143,430000
AMPANG,1,1,280,714.2857142857143,200000
AMPANG,1,1,450,688.8888888888889,310000
AMPANG,1,1,506,720.3557312252965,364500
AMPANG,1,1,450,775.5555555555555,349000
AMPANG,2,2,850,704.7058823529412,599000
BANDAR TASIK SELATAN,3,2,854,348.94613583138175,298000
BANDAR TASIK SELATAN,3,2,854,316.1592505854801,270000
BANDAR TASIK SELATAN,2,1,668,291.91616766467064,195000
BANDAR TASIK SELATAN,3,2,854,339.57845433255267,290000
BANDAR TASIK SELATAN,3,2,657,350.076103500761,230000
BANDAR TASIK SELATAN,3,2,650,315.38461538461536,205000
BANDAR TASIK SELATAN,3,2,851,346.6509988249119,295000
BANDAR TASIK SELATAN,3,1,730,342.4657534246575,250000
BANDAR TASIK SELATAN,3,2,657,350.076103500761,230000
BANDAR TASIK SELATAN,3,2,730,342.4657534246575,250000
BANDAR TASIK SELATAN,3,2,854,339.57845433255267,290000
BANDAR TASIK SELATAN,3,1,730,342.4657534246575,250000
BANDAR TASIK SELATAN,3,2,850,341.1764705882353,290000
BANDAR TASIK SELATAN,4,2,1044,333.3333333333333,348000
BANDAR TASIK SELATAN,3,2,854,339.57845433255267,290000
BANDAR TASIK SELATAN,3,1,730,342.4657534246575,250000
BANDAR TASIK SELATAN,2,1,668,291.91616766467064,195000
BANDAR TASIK SELATAN,3,2,854,339.57845433255267,290000
BANDAR TASIK SELATAN,3,2,650,323.0769230769231,210000
BANDAR TASIK SELATAN,3,2,854,339.57845433255267,290000
BANDAR TASIK SELATAN,3,2,657,350.076103500761,230000
BANDAR TASIK SELATAN,3,2,854,339.57845433255267,290000
BANDAR TASIK SELATAN,3,2,832,394.2307692307692,328000
BANDAR TASIK SELATAN,3,2,915,360.655737704918,330000
BANDAR TASIK SELATAN,3,2,854,351.288056206089,300000
BANDAR TASIK SELATAN,2,1,668,291.91616766467064,195000
BANDAR TASIK SELATAN,3,2,667,344.82758620689657,230000
BANDAR TASIK SELATAN,3,2,650,353.84615384615387,230000
BANDAR TASIK SELATAN,3,2,657,350.076103500761,230000
BANDAR TASIK SELATAN,3,2,854,339.57845433255267,290000
BANDAR TASIK SELATAN,3,2,850,341.1764705882353,290000
BANDAR TASIK SELATAN,2,2,854,362.9976580796253,310000
BANDAR TASIK SELATAN,2,1,650,338.46153846153845,220000
BANDAR TASIK SELATAN,3,2,689,341.0740203193033,235000
BANDAR TASIK SELATAN,2,1,668,291.91616766467064,195000
BANDAR TASIK SELATAN,3,2,650,353.84615384615387,230000
BANDAR TASIK SELATAN,3,2,854,316.1592505854801,270000
BANDAR TASIK SELATAN,2,1,668,291.91616766467064,195000
BANDAR TASIK SELATAN,3,2,854,339.57845433255267,290000
BANDAR TASIK SELATAN,3,2,854,316.1592505854801,270000
BANDAR TASIK SELATAN,3,2,854,374.7072599531616,320000
BANDAR TASIK SELATAN,3,2,854,339.57845433255267,290000
BANDAR TASIK SELATAN,3,2,854,339.57845433255267,290000
BANDAR TASIK SELATAN,3,2,650,330.7692307692308,215000
BANDAR TASIK SELATAN,3,2,854,316.1592505854801,270000
BANDAR TASIK SELATAN,3,2,854,316.1592505854801,270000
BANDAR TASIK SELATAN,3,2,854,316.1592505854801,270000
BANDAR TASIK SELATAN,3,2,854,316.1592505854801,270000
BANDAR TASIK SELATAN,2,2,854,362.9976580796253,310000
BANDAR TASIK SELATAN,3,2,650,346.15384615384613,225000
BANDAR TASIK SELATAN,3,2,854,339.57845433255267,290000
BANDAR TASIK SELATAN,3,2,854,339.57845433255267,290000
BANDAR TASIK SELATAN,3,2,854,339.57845433255267,290000
BANDAR TASIK SELATAN,3,2,854,339.57845433255267,290000
BANDAR TASIK SELATAN,3,2,650,361.53846153846155,235000
BANDAR TASIK SELATAN,3,2,854,339.57845433255267,290000
BANDAR TASIK SELATAN,2,1,667,299.85007496251876,200000
BANDAR TASIK SELATAN,3,2,650,323.0769230769231,210000
BANDAR TASIK SELATAN,3,2,854,339.57845433255267,290000
BANDAR TASIK SELATAN,3,2,854,339.57845433255267,290000
BANDAR TASIK SELATAN,3,2,854,339.57845433255267,290000
BANDAR TASIK SELATAN,3,2,650,346.15384615384613,225000
BANDAR TASIK SELATAN,3,2,650,323.0769230769231,210000
BANDAR TASIK SELATAN,2,1,668,284.4311377245509,190000
BANDAR TASIK SELATAN,3,2,880,318.1818181818182,280000
BANDAR TASIK SELATAN,3,2,730,326.027397260274,238000
BANDAR TASIK SELATAN,3,2,854,351.288056206089,300000
BANDAR TASIK SELATAN,3,2,854,386.41686182669787,330000
BANDAR TASIK SELATAN,3,2,940,351.06382978723406,330000
BANDAR TASIK SELATAN,3,2,854,339.57845433255267,290000
BANDAR TASIK SELATAN,3,2,650,323.0769230769231,210000
BANDAR TASIK SELATAN,3,2,651,314.900153609831,205000
BANDAR TASIK SELATAN,3,1,730,342.4657534246575,250000
BANDAR TASIK SELATAN,3,2,854,374.7072599531616,320000
BANDAR TASIK SELATAN,3,2,854,351.288056206089,300000
BANDAR TASIK SELATAN,3,2,650,323.0769230769231,210000
BANDAR TASIK SELATAN,3,2,689,312.04644412191584,215000
BANDAR TASIK SELATAN,3,2,854,339.57845433255267,290000
BANDAR TASIK SELATAN,3,2,650,323.0769230769231,210000
BANDAR TASIK SELATAN,3,2,650,338.46153846153845,220000
BANDAR TASIK SELATAN,3,2,650,361.53846153846155,235000
BANDAR TASIK SELATAN,3,2,650,323.0769230769231,210000
BANDAR TASIK SELATAN,3,2,650,323.0769230769231,210000
BANDAR TASIK SELATAN,3,2,650,323.0769230769231,210000
BANDAR TASIK SELATAN,4,2,1164,377.14776632302403,439000
BANDAR TASIK SELATAN,3,2,650,323.0769230769231,210000
BANDAR TASIK SELATAN,3,2,650,323.0769230769231,210000
BANDAR TASIK SELATAN,3,2,650,346.15384615384613,225000
BANDAR TASIK SELATAN,3,2,650,323.0769230769231,210000
BANDAR TASIK SELATAN,3,2,650,323.0769230769231,210000
BANDAR TASIK SELATAN,3,2,732,403.0054644808743,295000
BANDAR TASIK SELATAN,3,2,650,376.9230769230769,245000
BANDAR TASIK SELATAN,3,2,915,360.655737704918,330000
BANDAR TASIK SELATAN,3,2,1149,337.59878154917317,387901
BANDAR TASIK SELATAN,3,2,650,346.15384615384613,225000
BANDAR TASIK SELATAN,3,2,650,346.15384615384613,225000
BANDAR TASIK SELATAN,3,2,650,346.15384615384613,225000
BANDAR TASIK SELATAN,3,1,650,346.15384615384613,225000
BANDAR TASIK SELATAN,3,2,650,346.15384615384613,225000
BANDAR TASIK SELATAN,3,2,650,346.15384615384613,225000
BANDAR TASIK SELATAN,3,1,650,346.15384615384613,225000
BANDAR TASIK SELATAN,3,2,650,323.0769230769231,210000
BANDAR TASIK SELATAN,3,2,650,361.53846153846155,235000
BANDAR TASIK SELATAN,3,2,854,316.1592505854801,270000
BANDAR TASIK SELATAN,3,2,854,345.43325526932085,295000
BANDAR TASIK SELATAN,3,2,854,316.1592505854801,270000
BANDAR TASIK SELATAN,3,2,650,346.15384615384613,225000
BANDAR TASIK SELATAN,3,2,650,346.15384615384613,225000
BANDAR TASIK SELATAN,3,2,650,346.15384615384613,225000
BANDAR TASIK SELATAN,3,2,650,346.15384615384613,225000
BANDAR TASIK SELATAN,3,2,650,346.15384615384613,225000
BANDAR TASIK SELATAN,3,2,650,346.15384615384613,225000
